broj_poena,ime,prezime
150,Nebojsa,Arsenijevic
225,Dragana,Milenkovic
310,Slobodan,Krstic
395,Nada,Zlatkovic
420,Predrag,Mirkovic
505,Milanka,Bozovic
590,Radmila,Cvetkovic
645,Miroslav,Djuric
710,Snezana,Nicic
785,Dragan,Pantelic
830,Gordana,Adamovic
875,Branislav,Simeonovic
940,Lidija,Rankovic
1015,Zivorad,Milutinovic
1080,Jasmina,Bogdanovic
1145,Dejan,Matic
1210,Svetlana,Petric
1275,Slavko,Radivojevic
1330,Dusanka,Milovanovic
1405,Ranko,Lukic
1470,Marija,Stanic
1525,Branko,Arsic
1590,Olivera,Todic
1655,Miodrag,Vidovic
1720,Tatjana,Nikolov
1785,Zoran,Stojanovic
1840,Ljiljana,Cvetanovic
1905,Radomir,Jeremic
1970,Stanislava,Djordic
2025,Vojislav,Danilovic
2090,Mirjana,Petrasinovic
2155,Dobrivoje,Manojlovic
2220,Ruza,Subotic
2285,Milutin,Vujanovic
2350,Biserka,Stevanovic
2415,Predrag,Gajic
2480,Radojka,Miljkovic
2545,Milorad,Tanaskovic
2610,Vera,Mihailovic
2675,Zdravko,Trajkovic
2740,Natasa,Belic
2805,Vlastimir,Petkovic
2870,Dusica,Ivancevic
2935,Milojko,Nikolov
3000,Jelica,Savic
3065,Radomir,Vuckovic
3130,Ljubica,Davidovic
3195,Miomir,Petrovic
3260,Slavica,Kocic
3325,Jovan,Randjelovic
3390,Mileva,Dacic
3455,Tomislav,Saric
3520,Stana,Stefanovic
3585,Miladin,Mladenovic
3650,Zorka,Tosic
3715,Radivoje,Jovanovic
3780,Mira,Pavlovic
3845,Borivoje,Maric
3910,Rada,Djukic
3975,Vlastimir,Obradovic
4040,Milica,Stankovic
4105,Dimitrije,Ilic
4170,Jovanka,Kostic
4235,Bogomir,Petric
4300,Danica,Vasiljevic
4365,Svetozar,Milic
4430,Kosara,Zivanovic
4495,Vasilije,Ristic
4560,Milena,Tomic
4625,Cedomir,Popovic
4690,Branka,Antonijevic
4755,Miroljub,Djokic
4820,Slavka,Stanojevic
4885,Ljubomir,Mladenovic
4950,Desanka,Markovic
5015,Radomir,Filipovic
5080,Milunka,Jovic
5145,Bogoljub,Nedeljkovic
5210,Dragica,Maksimovic
5275,Spasoje,Mihajlovic
5340,Jela,Lazarevic
5405,Milivoje,Kovacevic
5470,Radmila,Stojanovic
5535,Branimir,Rakic
5600,Smiljana,Marinkovic
5665,Dusan,Jankovic
5730,Zagorka,Paunovic
5795,Milisav,Todorovic
5860,Bosiljka,Pavic
5925,Velimir,Mitrovic
5990,Dusanka,Djordjevic
6055,Momcilo,Simic
6120,Nada,Stanic
6185,Zivojin,Vukovic
6250,Stana,Petronijevic
